geo_id,year,deped_id,water,electricity,internet,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
NIG-003297,2014,EWVPE,1,,,,,1,,
NIG-003298,2014,EUYET,1,,,,,1,,
NIG-003299,2014,EPUAJ,0,,,,,0,,
NIG-003300,2014,EEWVX,1,,,,,1,,
NIG-003301,2014,EYCZS,1,,,,,1,,
NIG-003302,2014,ETWBL,1,,,,,1,,
NIG-003303,2014,EYSCX,1,,,,,1,,
NIG-003304,2014,EAGON,0,,,,,0,,
NIG-003305,2014,EJWQA,1,,,,,1,,
NIG-003306,2014,EBKLE,1,,,,,1,,
NIG-003307,2014,EGSCF,1,,,,,1,,
NIG-003308,2014,EINCZ,1,,,,,1,,
NIG-003309,2014,EMAKI,0,,,,,1,,
NIG-003310,2014,EMYMT,1,,,,,1,,
NIG-003311,2014,EXJTR,0,,,,,0,,
NIG-003312,2014,ETMJM,1,,,,,1,,
NIG-003313,2014,EVJEI,1,,,,,1,,
NIG-003314,2014,EILYZ,0,,,,,0,,
NIG-003315,2014,EWLMA,0,,,,,0,,
NIG-003316,2014,ENEHF,0,,,,,0,,
NIG-003317,2014,EFZAB,0,,,,,0,,
NIG-003318,2014,ERTMI,0,,,,,1,,
NIG-003319,2014,EVOIO,1,,,,,0,,
NIG-003320,2014,ENBJM,0,,,,,0,,
NIG-003321,2014,EAAAL,1,,,,,1,,
NIG-003322,2014,EICOG,0,,,,,0,,
NIG-003323,2014,EHQKJ,1,,,,,1,,
NIG-003324,2014,EQQZM,1,,,,,0,,
NIG-003325,2014,ELIRY,0,,,,,0,,
NIG-003326,2014,EMBME,0,,,,,1,,
NIG-003327,2014,EJFXD,0,,,,,0,,
NIG-003328,2014,EAZDP,1,,,,,0,,
NIG-003329,2014,ERTWC,0,,,,,0,,
NIG-003330,2014,EPHYF,1,,,,,0,,
NIG-003331,2014,ELUSE,1,,,,,1,,
NIG-003332,2014,EXJHF,1,,,,,0,,
NIG-003333,2014,EQCQO,0,,,,,0,,
NIG-003334,2014,ECUHB,0,,,,,0,,
NIG-003335,2014,EIQNU,1,,,,,1,,
NIG-003336,2014,EGQBP,0,,,,,0,,
NIG-003337,2014,EQGHC,0,,,,,0,,
NIG-003338,2014,ENEAR,0,,,,,1,,
NIG-003339,2014,ENZUG,1,,,,,1,,
NIG-003340,2014,EMFFO,1,,,,,1,,
NIG-003341,2014,EBWLL,0,,,,,0,,
NIG-003342,2014,EANUX,1,,,,,1,,
NIG-003343,2014,EUWAQ,1,,,,,1,,
NIG-003344,2014,EKARC,1,,,,,1,,
NIG-003345,2014,EDBPJ,1,,,,,1,,
NIG-003346,2014,ERWAY,1,,,,,1,,
NIG-003347,2014,EEJFT,0,,,,,0,,
NIG-003348,2014,EHYKO,0,,,,,0,,
NIG-003349,2014,ENVEO,0,,,,,1,,
NIG-003350,2014,EVGUI,0,,,,,0,,
NIG-003351,2014,EDYEL,0,,,,,0,,
