geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
PRY-000175,2012,1001046,,,,,,,,
PRY-000176,2012,1001045,,0,,,,,,
PRY-000176,2012,1001045,,0,,,,,,
PRY-000177,2012,1001044,,0,,,,,,
PRY-000178,2012,1001043,,0,,,,,,
PRY-000178,2012,1001043,,0,,,,,,
PRY-000179,2012,1001041,,0,,,,,,
PRY-000180,2012,1001039,,0,,,,,,
PRY-000180,2012,1001039,,,,,,,,
PRY-000180,2012,1001039,,0,,,,,,
PRY-000181,2012,1001038,,1,,,,,,
PRY-000182,2012,1001036,,0,,,,,,
PRY-000182,2012,1001036,,0,,,,,,
PRY-000183,2012,1001035,,,,,,,,
PRY-000183,2012,1001035,,0,,,,,,
PRY-000183,2012,1001035,,1,,,,,,
PRY-000184,2012,1001034,,0,,,,,,
PRY-000184,2012,1001034,,,,,,,,
PRY-000184,2012,1001034,,1,,,,,,
PRY-000185,2012,1001033,,,,,,,,
PRY-000185,2012,1001033,,0,,,,,,
PRY-000186,2012,1001032,,0,,,,,,
PRY-000186,2012,1001032,,0,,,,,,
PRY-000187,2012,1001031,,1,,,,,,
PRY-000188,2012,1001029,,1,,,,,,
PRY-000189,2012,1001027,,0,,,,,,
PRY-000190,2012,1001026,,1,,,,,,
PRY-000191,2012,1001025,,0,,,,,,
PRY-000191,2012,1001025,,,,,,,,
PRY-000191,2012,1001025,,,,,,,,
PRY-000192,2012,1001024,,0,,,,,,
PRY-000193,2012,1001023,,1,,,,,,
PRY-000194,2012,1001022,,1,,,,,,
PRY-000195,2012,1001021,,1,,,,,,
PRY-000196,2012,1001020,,,,,,,,
PRY-000196,2012,1001020,,0,,,,,,
PRY-000197,2012,1001019,,0,,,,,,
PRY-000198,2012,1001018,,0,,,,,,
PRY-000198,2012,1001018,,1,,,,,,
PRY-000199,2012,1001017,,,,,,,,
PRY-000199,2012,1001017,,1,,,,,,
PRY-000199,2012,1001017,,,,,,,,
PRY-000200,2012,1001016,,0,,,,,,
PRY-000200,2012,1001016,,1,,,,,,
PRY-000200,2012,1001016,,,,,,,,
PRY-000201,2012,1001015,,0,,,,,,
PRY-000201,2012,1001015,,,,,,,,
PRY-000201,2012,1001015,,0,,,,,,
PRY-000202,2012,1001011,,0,,,,,,
PRY-000202,2012,1001011,,1,,,,,,
PRY-000202,2012,1001011,,,,,,,,
PRY-000203,2012,1001009,,1,,,,,,
PRY-000204,2012,1001008,,1,,,,,,
PRY-000205,2012,1001007,,0,,,,,,
PRY-000205,2012,1001007,,0,,,,,,
PRY-000206,2012,1001006,,,,,,,,
PRY-000206,2012,1001006,,0,,,,,,
PRY-000207,2012,1001005,,1,,,,,,
PRY-000208,2012,1001004,,0,,,,,,
PRY-000209,2012,1001003,,1,,,,,,
PRY-000209,2012,1001003,,,,,,,,
PRY-000210,2012,1001002,,1,,,,,,
PRY-000210,2012,1001002,,,,,,,,
PRY-000210,2012,1001002,,0,,,,,,
PRY-000211,2012,1001001,,0,,,,,,
PRY-000211,2012,1001001,,0,,,,,,
PRY-000212,2012,1003016,,0,,,,,,
PRY-000213,2012,1003015,,,,,,,,
PRY-000213,2012,1003015,,0,,,,,,
PRY-000214,2012,1003011,,0,,,,,,
PRY-000215,2012,1003010,,0,,,,,,
PRY-000216,2012,1003009,,0,,,,,,
PRY-000216,2012,1003009,,0,,,,,,
PRY-000217,2012,1003008,,0,,,,,,
PRY-000217,2012,1003008,,0,,,,,,
PRY-000218,2012,1003006,,0,,,,,,
PRY-000219,2012,1003005,,0,,,,,,
PRY-000220,2012,1003004,,0,,,,,,
PRY-000221,2012,1003003,,0,,,,,,
PRY-000222,2012,1003002,,0,,,,,,
PRY-000223,2012,1003001,,0,,,,,,
PRY-000224,2012,1010031,,0,,,,,,
PRY-000225,2012,1004033,,0,,,,,,
PRY-000226,2012,1004032,,,,,,,,
PRY-000227,2012,1004030,,,,,,,,
PRY-000228,2012,1004029,,0,,,,,,
PRY-000229,2012,1004028,,0,,,,,,
PRY-000230,2012,1004027,,0,,,,,,
PRY-000231,2012,1004025,,0,,,,,,
PRY-000231,2012,1004025,,0,,,,,,
PRY-000232,2012,1004024,,0,,,,,,
PRY-000233,2012,1004023,,0,,,,,,
PRY-000234,2012,1004022,,0,,,,,,
PRY-000235,2012,1004021,,0,,,,,,
PRY-000236,2012,1004020,,0,,,,,,
PRY-000237,2012,1004019,,0,,,,,,
PRY-000238,2012,1004018,,0,,,,,,
PRY-000239,2012,1004017,,0,,,,,,
PRY-000240,2012,1004016,,0,,,,,,
PRY-000241,2012,1004015,,0,,,,,,
PRY-000242,2012,1004014,,0,,,,,,
PRY-000243,2012,1004011,,0,,,,,,
PRY-000243,2012,1004011,,0,,,,,,
PRY-000244,2012,1004010,,0,,,,,,
PRY-000245,2012,1004009,,0,,,,,,
PRY-000246,2012,1004008,,0,,,,,,
PRY-000246,2012,1004008,,0,,,,,,
PRY-000247,2012,1004007,,0,,,,,,
PRY-000248,2012,1004006,,0,,,,,,
PRY-000248,2012,1004006,,0,,,,,,
PRY-000249,2012,1004005,,0,,,,,,
PRY-000250,2012,1004003,,,,,,,,
PRY-000250,2012,1004003,,0,,,,,,
PRY-000251,2012,1004002,,0,,,,,,
PRY-000252,2012,1004001,,0,,,,,,
PRY-000253,2012,1004004,,0,,,,,,
PRY-000254,2012,1004013,,0,,,,,,
PRY-000255,2012,1007041,,0,,,,,,
PRY-000256,2012,1014039,,0,,,,,,
PRY-000257,2012,1014040,,0,,,,,,
PRY-000258,2012,1014037,,0,,,,,,
PRY-000259,2012,1014033,,0,,,,,,
PRY-000259,2012,1014033,,0,,,,,,
PRY-000260,2012,1014034,,0,,,,,,
PRY-000261,2012,1014031,,0,,,,,,
PRY-000262,2012,1014030,,0,,,,,,
PRY-000263,2012,1014023,,0,,,,,,
PRY-000264,2012,1014026,,0,,,,,,
PRY-000265,2012,1014022,,0,,,,,,
PRY-000266,2012,1014019,,0,,,,,,
PRY-000267,2012,1014011,,0,,,,,,
PRY-000268,2012,1005118,,0,,,,,,
PRY-000269,2012,1005114,,0,,,,,,
PRY-000270,2012,1005109,,0,,,,,,
PRY-000271,2012,1005108,,0,,,,,,
PRY-000272,2012,1005107,,1,,,,,,
PRY-000273,2012,1005105,,0,,,,,,
PRY-000274,2012,1005104,,0,,,,,,
PRY-000275,2012,1005103,,0,,,,,,
PRY-000276,2012,1005102,,0,,,,,,
PRY-000277,2012,1005098,,0,,,,,,
PRY-000278,2012,1005094,,0,,,,,,
PRY-000279,2012,1005093,,1,,,,,,
PRY-000280,2012,1005092,,0,,,,,,
PRY-000281,2012,1005086,,0,,,,,,
PRY-000282,2012,1005083,,,,,,,,
PRY-000283,2012,1005079,,0,,,,,,
PRY-000284,2012,1005078,,0,,,,,,
PRY-000285,2012,1005077,,0,,,,,,
PRY-000286,2012,1005072,,,,,,,,
PRY-000286,2012,1005072,,0,,,,,,
PRY-000286,2012,1005072,,1,,,,,,
PRY-000287,2012,1005071,,0,,,,,,
PRY-000288,2012,1005070,,,,,,,,
PRY-000288,2012,1005070,,0,,,,,,
PRY-000289,2012,1005069,,0,,,,,,
PRY-000290,2012,1005068,,0,,,,,,
PRY-000291,2012,1005063,,,,,,,,
PRY-000291,2012,1005063,,0,,,,,,
PRY-000291,2012,1005063,,,,,,,,
PRY-000292,2012,1005062,,,,,,,,
PRY-000293,2012,1005060,,0,,,,,,
PRY-000294,2012,1005051,,0,,,,,,
PRY-000295,2012,1005046,,0,,,,,,
PRY-000296,2012,1005044,,0,,,,,,
PRY-000297,2012,1005041,,0,,,,,,
PRY-000298,2012,1005040,,0,,,,,,
PRY-000299,2012,1005038,,0,,,,,,
PRY-000300,2012,1005037,,0,,,,,,
PRY-000301,2012,1005036,,0,,,,,,
PRY-000301,2012,1005036,,0,,,,,,
PRY-000302,2012,1005035,,0,,,,,,
PRY-000303,2012,1005033,,0,,,,,,
PRY-000303,2012,1005033,,0,,,,,,
PRY-000304,2012,1005031,,0,,,,,,
PRY-000305,2012,1017028,,0,,,,,,
PRY-000306,2012,1005030,,0,,,,,,
PRY-000307,2012,1005029,,0,,,,,,
PRY-000308,2012,1005028,,0,,,,,,
PRY-000309,2012,1005027,,0,,,,,,
PRY-000310,2012,1005026,,0,,,,,,
PRY-000311,2012,1005024,,1,,,,,,
PRY-000312,2012,1005022,,1,,,,,,
PRY-000313,2012,1005020,,1,,,,,,
PRY-000314,2012,1005019,,1,,,,,,
PRY-000315,2012,1005018,,0,,,,,,
PRY-000315,2012,1005018,,,,,,,,
PRY-000316,2012,1005017,,,,,,,,
PRY-000317,2012,1005016,,0,,,,,,
PRY-000318,2012,1005015,,0,,,,,,
PRY-000318,2012,1005015,,0,,,,,,
PRY-000318,2012,1005015,,,,,,,,
PRY-000319,2012,1005014,,0,,,,,,
PRY-000319,2012,1005014,,,,,,,,
PRY-000320,2012,1005013,,0,,,,,,
PRY-000320,2012,1005013,,1,,,,,,
PRY-000321,2012,1005012,,0,,,,,,
PRY-000321,2012,1005012,,,,,,,,
PRY-000322,2012,1005011,,,,,,,,
PRY-000322,2012,1005011,,0,,,,,,
PRY-000323,2012,1005010,,0,,,,,,
PRY-000324,2012,1005009,,0,,,,,,
PRY-000324,2012,1005009,,,,,,,,
PRY-000324,2012,1005009,,0,,,,,,
PRY-000325,2012,1005008,,,,,,,,
PRY-000325,2012,1005008,,0,,,,,,
PRY-000326,2012,1005007,,0,,,,,,
PRY-000326,2012,1005007,,0,,,,,,
PRY-000327,2012,1005006,,,,,,,,
PRY-000327,2012,1005006,,1,,,,,,
PRY-000328,2012,1005005,,0,,,,,,
PRY-000329,2012,1005003,,0,,,,,,
PRY-000330,2012,1005004,,0,,,,,,
PRY-000331,2012,1005001,,0,,,,,,
PRY-000332,2012,1006104,,0,,,,,,
PRY-000333,2012,1019017,,1,,,,,,
PRY-000334,2012,1019012,,0,,,,,,
PRY-000335,2012,1019010,,0,,,,,,
PRY-000336,2012,1019009,,0,,,,,,
PRY-000337,2012,1019008,,1,,,,,,
PRY-000338,2012,1019004,,0,,,,,,
PRY-000339,2012,1019003,,0,,,,,,
